sample_id,Hash,nReads
21F103B_rep1,d47d391d67d5ae6d3d93d6893772b3557d1721ce,4357
21F103B_rep1,53b5f449fc8f292a4dd09f382768a8859af0bde3,4080
21F103B_rep1,849f62821cb21de8814b79bd7138c5b359ebfdd8,3350
21F103B_rep1,0591158b7ee039046eb89f661c428ab8c32e9d7d,2212
21F103B_rep1,2aacc72745d7de178597f5c15ade8d811fae60c0,1784
21F103B_rep1,44d4ccb9f5218a2b9b29875af5840ffc7024343b,969
21F103B_rep1,f47b1ccc4d3100dd01dd2af818664d5638607fd0,742
21F103B_rep1,df070889dec7a2074b7ca43d8eb2fbf1abb7f33e,717
21F103B_rep1,0b99a148770d184a76a4830fd38d831115de78fe,649
21F103B_rep1,3e864af09a29a7a13aa8f5cb4b7a2c96c257de54,421
21F103B_rep1,3b11fca592e65c0886ebf5916fdce40691ce180e,366
21F103B_rep1,8568a4b6435452883a4dfec64f8c34e97fa8f5b1,182
21F103B_rep1,a156f2edb989e8a8679899e31485936a09882fd9,124
21F103B_rep1,5bca285a490bd28b861a79695a16d4c886f550bc,90
21F103B_rep1,f43a37155abb483623729c360f974f4f7c43d2d5,82
21F103B_rep1,11115e7fdde51e705f07cfe4fa52fca31f50663b,60
21F103B_rep1,08816de8e718166eb71e73747e20273ce7f2d7db,59
21F103B_rep1,d5803bec6d71061d78f4ecbf8cda7bf76b6599ac,53
21F103B_rep1,906d9c8e7de7fd5894e475fab64a6f76f430db30,47
21F103B_rep1,29c0f6c357e9c702bad4de4cff2ed43bfd296beb,41
21F103B_rep1,e08b8a6ad5651b5b6342a922f39b6309c5b7d6ac,38
21F103B_rep1,4bd4bff9a2cdcb9455fbde197077d4e6b0edf847,36
21F103B_rep1,6c11f84e0e44ef8bec0acce65530aa3800f85dcc,33
21F103B_rep1,de1bc16852d781959857897682efe82a1be76c0d,32
21F103B_rep1,50fe9e137cb80a494c37a013782dcb2f4744b28e,30
21F103B_rep1,39bad365e95c3b5655584fe288b17378101f5ab5,29
21F103B_rep1,555d5a147e1bb4ef966647cfee7428002d8ad755,26
21F103B_rep1,0c881cffbd0b21b4fd140dbc82b2b523a439996e,23
21F103B_rep1,c5ed2c21843d97ee61ec49152166ac23ae653b1c,21
21F103B_rep1,d96e466ebf2fb461b925a2bff387045016de43c2,20
21F103B_rep1,e1cb725c0b3286da0c57fcc9759a22a0eddf2bf5,20
21F103B_rep1,9e91291491170ec54b0c1276ca13c0d0bb9a317b,19
21F103B_rep1,c9653c060562d877f957640a84fed2719fb6e3c3,18
21F103B_rep1,360fa1f8221abcc86628315ab95f98bfaae125e8,17
21F103B_rep1,4b77002463e600cd8d1c5e782b7a3452dbd7464e,17
21F103B_rep1,5cda93dcaf234cbe94694880456c08ef1f28f25c,16
21F103B_rep1,f421f04407038fc904bea559c2922d10387f8839,16
21F103B_rep1,2da0f6651289e395e86f878912d675d8a7cd12e2,14
21F103B_rep1,ec5e246e16582d0490f5d88f85aa672615f42b7e,14
21F103B_rep1,6791b056aaf8452ef2d070f4f16dc476c7a577ba,13
21F103B_rep1,d89ef5a0eb93a46e49403198c930a6ca61309db5,13
21F103B_rep1,3077949e369c245d383a9d49a327bdf7da257791,12
21F103B_rep1,3335eae8b79e3221ec236c75ed32d2c04d395b0e,12
21F103B_rep1,ac1b13fa2ffd3dac032ba97d3167860d775c93e9,12
21F103B_rep1,42d1eb16ae0c7ace8c032fe7206b963335cfa5e7,11
21F103B_rep1,5c1307d9566fef5e2532e2f9fa5a84389c735464,11
21F103B_rep1,adf13c3d109fab78e422cd2560d33cccf065492b,11
21F103B_rep1,fbeba131faeacabb841e1c9d06bbb1e925e6d234,11
21F103B_rep1,3847c5f619b10a47e3db5a268d975384c08f87f2,10
21F103B_rep1,ba8cd7a08b436ffc34018d97c2e39cadadbc6fe2,10
21F103B_rep1,dee65769a3213e858314e21fb8f6f150a74e7a99,10
21F103B_rep1,052111ea37689a37dbe18f34cb1e69d035de4dc2,9
21F103B_rep1,73a3ccd81832f5ccaeac8dcd8d074aea86b22929,9
21F103B_rep1,a2a2df5f8609c39c23f0feb092541898925c8c65,9
21F103B_rep1,1276767a720d41f770bd51f6621207e4fbe14f70,8
21F103B_rep1,b1e7f033fbd97e31a27deaa7aea877d4dde89549,8
21F103B_rep1,bc63f4762019c29f9072a8bea3e6d6d957930e55,8
21F103B_rep1,d544687bdd114c9ddd7afe5dcb5a8eca6328b35d,8
21F103B_rep1,d5a238813e7c70733ed927fedc6a1a7b3bdf3dfe,8
21F103B_rep1,11f00b5ac298b31168d0c3716352ef6ced3cd995,7
21F103B_rep1,8e1f765ed1466067461813254f869505e072b8fb,7
21F103B_rep1,92bd36f6628859ee1f38a96158f8ddb2d04c8488,7
21F103B_rep1,995f2a419a46c45997233e8c04b861059cbf7727,7
21F103B_rep1,3db5d21a7dcb2f946df70cbc64f4b4849e13bd59,6
21F103B_rep1,66697106489f57f6805980e6514feb10b79bd0a0,6
21F103B_rep1,94592569274c20598b40ff7393d102d66605ba89,6
21F103B_rep1,03821b0646f1e0400f73ba96b08111b60e557fe5,5
21F103B_rep1,50ba5b4183afc9f4c2ac7fb46214bbb1de709aa6,5
21F103B_rep1,5b269a46c9a8265b47aee5a2f16a2c2f2f5becdd,5
21F103B_rep1,648bb86a57d11f5a55193ae93cce64c236aef2de,5
21F103B_rep1,7ca318ee91f599d8dae8965eedba798a302d4b97,5
21F103B_rep1,a3a6300f77194849cdfcf258607c8fcdac11c3bf,5
21F103B_rep1,a52d9bd8609d4fadda3bef570768522e1daf3d86,5
21F103B_rep1,0314e480baacd4625ebf7765021099e865b745b7,4
21F103B_rep1,51b68582ecd3224b2a82bfd0fc666fe4502aeff9,4
21F103B_rep1,839ae5ea6670b490d5a7456774172f3a28fb93a7,4
21F103B_rep1,9d6ee5e5c08b35d071df9afa13cfcd46ac94f69f,4
21F103B_rep1,a01af1a8b7f0f1152e76f4c6e1a894f9ebe081eb,4
21F103B_rep1,a313acfe01a768248711d8e91612cfde42cf78c9,4
21F103B_rep1,a7a0dea09414f0199efd36b4d9f2af7facd3959f,4
21F103B_rep1,c55fe56917e9c4a407b5cef9d75178487311fd82,4
21F103B_rep1,ca69a5c4802bf9ea596f549aa1bbc99814ad9f52,4
21F103B_rep1,cf54d5610d308a825401043abde3e8f0cef6d54d,4
21F103B_rep1,d40ab64ed04145f8a1a12e7620e71cda15b06c0c,4
21F103B_rep1,f9c8b54ac1c0e076bb4cbcaf9b11fbf710bb3066,4
21F103B_rep1,16d80e194fbea45d21c986c33fabcf81fd923ddd,3
21F103B_rep1,16f772113ee75b7578daf22c5e2832ae964fc230,3
21F103B_rep1,39629aba1aade359de92ac8bbd56ae03a4572231,3
21F103B_rep1,7227ec3fdb7871a8b0c961c357156df5b96d2225,3
21F103B_rep1,7b4ce8a5594964a111fce4ad979c40c5edaf7e65,3
21F103B_rep1,7f610a1a3fbb7b6b74c84a0ce7eba5b03c37c87f,3
21F103B_rep1,91b79e0a72f9084ea2b92e04435530fbfea3ed1a,3
21F103B_rep1,d71fce5b616166dcac914f33fac4462842f50536,3
21F103B_rep1,eaf4b10a984603f0bec02ad457c6f514ebc04143,3
21F103B_rep1,faaf0116bb7312b16d8be882aa1c69e8fbbb70aa,3
21F103B_rep1,02cfd0142abb05f9276f7f0fb0d626601d7da8c6,2
21F103B_rep1,1767d44dd27a6a51ad73ee742c68d2a44f62d0bb,2
21F103B_rep1,21dbd1f241973186399b8b0e10fc9ff501fe71a8,2
21F103B_rep1,21fa09703d47b0658893b3bac49e0175e16ca9f7,2
21F103B_rep1,2785e2d7ace5ba576039bbbccea6b376528a031e,2
21F103B_rep1,28100549288b4ffc294bfaed7d4d249d71e02a0c,2
21F103B_rep1,47f82bc8cb96945c5b200495364d38797c95d075,2
