Sample,locus,Hash,nReads
V047_rep3,COI,0a5cd12e19358f8077ddfa9bad0148551092e045,4321
V047_rep3,COI,ec5710a0964e43914214b2f3a94dd4ac73d37e09,1754
V047_rep3,COI,4ec01ddeeb7f6a4f74ca7d01f2bcd40a1d655f05,1481
V047_rep3,COI,883fbbd5ab88e7a7e7732a5b2e30b78d261a974b,1445
V047_rep3,COI,05ec74e5cbb771df4a9b25920e48727abe10dbab,1311
V047_rep3,COI,f3d771c2dcd5b829246dab464b18dda9600fa30f,1288
V047_rep3,COI,6556264dd618a9e376f9a339f4fccf95d081a60a,1024
V047_rep3,COI,29c0f6c357e9c702bad4de4cff2ed43bfd296beb,746
V047_rep3,COI,f47b1ccc4d3100dd01dd2af818664d5638607fd0,578
V047_rep3,COI,ac8b6786dcd4abb228b24484dcb49eac3a78fba5,466
V047_rep3,COI,da54b1606f22644f20d4431d9a059737fcf64b5b,404
V047_rep3,COI,9909566e0aba002988aa35071db9bc4de9366e73,396
V047_rep3,COI,9cdccb2eb850b10b3587edb75a9a41ae5086e889,339
V047_rep3,COI,7f0ee59653aa280922cbed637243f8c397afe07c,313
V047_rep3,COI,632a56882a3d9d79e804372de01e95570b7c9da3,265
V047_rep3,COI,e0ae3e12e7abdaa0eeae5e56118a19d2d6b2f824,256
V047_rep3,COI,feb9762c729716e1f7d930f4db019d46aaf09600,209
V047_rep3,COI,fd01f2fa24ae6e759bdf95ada39449535f95b592,193
V047_rep3,COI,515d2a104998f3005c72665dad8cc2b427f2a0d8,173
V047_rep3,COI,257d549d4ec415ca8badcbf08b070aac4c8e59c2,156
V047_rep3,COI,99f69a9c8962272eb2224c9da6d8cfa24fcde3f5,153
V047_rep3,COI,33e1ecde1afc5f8c099bb0637c9009261da88566,116
V047_rep3,COI,6e8906cdfeec1aa3188fdf450ff46c582b6bbca5,113
V047_rep3,COI,32e9d183440abed58454e1e94f1fff43b711ef96,111
V047_rep3,COI,bf713959abb2505b79abb466064bd6dbba195253,108
V047_rep3,COI,ec2d30d3ac44460ae6b4190bbe7cc8a812bf8753,107
V047_rep3,COI,b9d8346b896fb7b56d86c3fc4d0cf112ac60a88c,98
V047_rep3,COI,31211b7367bb1979073898e119ad8afa9e3668fa,90
V047_rep3,COI,f9b25e944e840dbb17a913e384825fb0e3762fd3,85
V047_rep3,COI,50fe9e137cb80a494c37a013782dcb2f4744b28e,82
V047_rep3,COI,b47c74a425af9efe42c62780d246b782b83415b2,75
V047_rep3,COI,057fddc88f86b1d795702a7d3d0afad005f97849,70
V047_rep3,COI,9bbdcae791f4748c4ea18be7dfcc177e04b9c169,63
V047_rep3,COI,dbb40f9269a031ef9d04c34611c0aed9cd987d37,63
V047_rep3,COI,a30ff8325d92a78c7b0aacf9790c092fb0fdabdf,61
V047_rep3,COI,aa4f9366bc7cb72ee7eb904f295cb35d1384cf3b,60
V047_rep3,COI,2535d61e99b2ad7f647025391bb1b617e31d1529,59
V047_rep3,COI,8d11b76f69397d634d680348166a5d70121fc82d,56
V047_rep3,COI,0c2e631f3d8bb9a40459da96335a2ced5adde827,50
V047_rep3,COI,942a40e5297222ce114861ad58fd9c95b08a5446,50
V047_rep3,COI,a7413da2b46bc2d12559ebc6fbdf76bf5e7c63b9,48
V047_rep3,COI,b410601385cc7a131bc9972d0f1bb1af0b098a7f,47
V047_rep3,COI,5a8ed54f5b6a51d22f94d47c968c48a38f962266,47
V047_rep3,COI,9530c2836a2df5f22d978fe21b24f230261121a1,45
V047_rep3,COI,d2d8ad1209e6730049bd695a00db24b3c050cae2,44
V047_rep3,COI,bd94305ea7c8999819ff1a154668d43f132efa9e,42
V047_rep3,COI,08816de8e718166eb71e73747e20273ce7f2d7db,41
V047_rep3,COI,022675dc39d9d25458129e3f460f983e36484ce0,40
V047_rep3,COI,52fb0bbbc8ac04a203f7b7bfcb8760e4d98730d9,40
V047_rep3,COI,c25065430da82a10fa5845f36832ff0cd79b4055,39
V047_rep3,COI,2b08263d4603057866db4963694ea27aa3c001a6,36
V047_rep3,COI,89142a97e2e4d5962f0a5e592dc6a43d36b83e96,35
V047_rep3,COI,3226a6b75c6e6cac24ecf608feb3a0b1a5a5d821,34
V047_rep3,COI,48c3ed4a31749f371c79ea0aa204ab1da1c94c5c,34
V047_rep3,COI,ebff1aefa3f3856097ab54acde044839a32e9fe2,33
V047_rep3,COI,51426117634ab4a0df934c2d945c59ff40567001,32
V047_rep3,COI,c01c139d69eec3a75268f01e213379cbffbdc98f,31
V047_rep3,COI,ce443b55a16ba379cd2143cfb5c8a66baac3fda1,30
V047_rep3,COI,8a04ec24820992e18c88b514302a601784759830,29
V047_rep3,COI,3dc6c5bf28f2f5ab0f6f86375153422fa3a3fd5c,28
V047_rep3,COI,4248d13e4e8ea329525f9b92ab1c205baa58b720,27
