Sample,Hash,nReads
21F103A_rep1,844c5560b8a0a057ed829defb1dad699133d9541,2
21F103A_rep2,NA,NA
21F103A_rep3,NA,NA
21F103B_rep1,d47d391d67d5ae6d3d93d6893772b3557d1721ce,2478
21F103B_rep1,53b5f449fc8f292a4dd09f382768a8859af0bde3,2324
21F103B_rep1,849f62821cb21de8814b79bd7138c5b359ebfdd8,1809
21F103B_rep1,0591158b7ee039046eb89f661c428ab8c32e9d7d,1235
21F103B_rep1,2aacc72745d7de178597f5c15ade8d811fae60c0,914
21F103B_rep1,16c17e13560e14a2987f13358cf57e820095eedf,850
21F103B_rep1,44d4ccb9f5218a2b9b29875af5840ffc7024343b,525
21F103B_rep1,df070889dec7a2074b7ca43d8eb2fbf1abb7f33e,389
21F103B_rep1,f47b1ccc4d3100dd01dd2af818664d5638607fd0,375
21F103B_rep1,0b99a148770d184a76a4830fd38d831115de78fe,333
21F103B_rep1,4cc183a9f271f02c108edc3b69a57764295fd1ec,305
21F103B_rep1,3e864af09a29a7a13aa8f5cb4b7a2c96c257de54,209
21F103B_rep1,3b11fca592e65c0886ebf5916fdce40691ce180e,181
21F103B_rep1,10f1321efac08287c9638ab45a1fc616048998f1,157
21F103B_rep1,dbee09ea49152ac95c3acc055368e0db6d6383c2,118
21F103B_rep1,8568a4b6435452883a4dfec64f8c34e97fa8f5b1,76
21F103B_rep1,a156f2edb989e8a8679899e31485936a09882fd9,67
21F103B_rep1,f8785b82d8078e8f8a1aed9dd7799a5b35e809b7,55
21F103B_rep1,5bca285a490bd28b861a79695a16d4c886f550bc,46
21F103B_rep1,b7950ae55bb966f90f7c585bcced46431b59b6aa,46
21F103B_rep1,cbce151c5d4e5bcdb8e2715a389d22b4320f381b,35
21F103B_rep1,08816de8e718166eb71e73747e20273ce7f2d7db,31
21F103B_rep1,11115e7fdde51e705f07cfe4fa52fca31f50663b,28
21F103B_rep1,6b4a91bc55833d375071f9c4220ebf99d30a1947,27
21F103B_rep1,29c0f6c357e9c702bad4de4cff2ed43bfd296beb,24
21F103B_rep1,d1b6f2d59d966a64110461898f1181aa900fa2ba,22
21F103B_rep1,906d9c8e7de7fd5894e475fab64a6f76f430db30,21
21F103B_rep1,d5803bec6d71061d78f4ecbf8cda7bf76b6599ac,21
21F103B_rep1,e08b8a6ad5651b5b6342a922f39b6309c5b7d6ac,21
21F103B_rep1,de1bc16852d781959857897682efe82a1be76c0d,19
21F103B_rep1,d96e466ebf2fb461b925a2bff387045016de43c2,16
21F103B_rep1,39bad365e95c3b5655584fe288b17378101f5ab5,16
21F103B_rep1,4bd4bff9a2cdcb9455fbde197077d4e6b0edf847,16
21F103B_rep1,555d5a147e1bb4ef966647cfee7428002d8ad755,15
21F103B_rep1,6c11f84e0e44ef8bec0acce65530aa3800f85dcc,15
