"query_id","subject_id","identity","alignment_length","mismatches","gap_opens","q_start","q_end","s_start","s_end","evalue","bit_score","BLAST_asignation","sample_id","nReads","Lago","Domain_(MIDORI_asignation)","Phylum","Class","Order","Family","Genus","Species","000a","0sample_id","0nReads","0Lago","domain","kingdom","phylum","class","order","family","genus","species"
"001b52c3551b1be97372ee429f8853190b7188c8","gi|2073953076|gb|MW849265.1|","100",31,0,0,265,295,726,756,"0,001","58,4","Cylindrotheca closterium isolate Qingdao in China mitochondrion, complete genome","21F112A",5,"Managua","Eukaryota_2759",NA,NA,NA,NA,NA,NA,"wat0m","21F112A",5,"Managua","Eukaryota","","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Cylindrotheca","Cylindrotheca closterium"
"002c40f2309c1f7a170bb9bb722d773b03c00a26","gi|401880231|gb|JX216683.1|","97,778",315,7,0,1,315,346,660,"8,43E-150","544","Lecane crepida voucher ECOCHZ-AG0476 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","A2",159,"Apoyo","Eukaryota_2759","Rotifera_10190","Eurotatoria_2816136","Ploima_84394","Lecanidae_96444","Lecane_96445","Lecane_crepida_1213205","soil","21A2",159,"Apoyo","Eukaryota","Metazoa","Rotifera","Eurotatoria","Ploima","Lecanidae","Lecane","Lecane crepida"
"003aba35a06c71415690196c92556522a689cfe9","gi|685042149|emb|LN590674.1|","100",38,0,0,167,204,13172348,13172311,"0,000000103","71,3","Cyprinus carpio genome assembly common carp genome, scaffold: LG42, chromosome: 42","V095",16,"Apoyo","Eukaryota_2759",NA,NA,NA,NA,NA,NA,"wat?m","23V095",16,"Apoyo","Eukaryota","Metazoa","Chordata","Actinopteri","Cypriniformes","Cyprinidae","Cyprinus","Cyprinus carpio"
"003f4cb02d72c97602306e68813427a993e53c22","gi|2328365145|ref|NC_067847.1|","96,166",313,12,0,1,313,17651,17963,"2,35E-140","512","Gomphonema parvulum voucher personal collection:A.Bruce Cahoon:diatom-2021-A mitochondrion, complete genome<>Gomphonema parvulum voucher personal collection:A.Bruce Cahoon:diatom-2021-A mitochondrion, complete genome","Ni5",21,"Nicaragua","Eukaryota_2759","Bacillariophyta_2836","Bacillariophyceae_33849","Cymbellales_97224","Gomphonemataceae_97225","Gomphonema_97226","Gomphonema_parvulum_97227","soil","21Ni5",21,"Nicaragua","Eukaryota","","Bacillariophyta","Bacillariophyceae","Cymbellales","Gomphonemataceae","Gomphonema","Gomphonema parvulum"
"0050a2642a104927cd25d0b1ef1d1bd5db744e75","gi|685042193|emb|LN590718.1|","100",33,0,0,1,33,22898621,22898653,"0,0000606","62,1","Cyprinus carpio genome assembly common carp genome, scaffold: LG9, chromosome: 9","Ni5",15,"Nicaragua","Eukaryota_2759",NA,NA,NA,NA,NA,NA,"soil","21Ni5",15,"Nicaragua","Eukaryota","Metazoa","Chordata","Actinopteri","Cypriniformes","Cyprinidae","Cyprinus","Cyprinus carpio"
"0091c7ab7317400aeba32c076e798d0a857e80d9","gi|1951310106|gb|MT738794.2|","97,297",37,1,0,156,192,460,496,"0,0000285","63,9","Dysdera silvatica voucher LG142_EHA0211 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial.","V047",45,"Nicaragua","Eukaryota_2759",NA,NA,NA,NA,NA,NA,"wat?m","23V047",45,"Nicaragua","Eukaryota","Metazoa","Arthropoda","Arachnida","Araneae","Dysderidae","Dysdera","Dysdera silvatica"
"00aebb7a92fe6315d8c560d985541f311aefe126","gi|255985061|gb|FJ217817.1|","99,684",316,1,0,1,316,312,627,"2,31E-160","579","Azadinium spinosum strain 3D9 cytochrome oxidase subunit I gene, partial cds; mitochondrial<>Azadinium spinosum isolate UTHE2 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial<>Azadinium poporum isolate UTHC8 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","Ni5",24,"Nicaragua","Eukaryota_2759","Dinophyceae_2864","Dinophyceae_2864","Gonyaulacales_40984","Amphidomataceae_1123714","Azadinium_632149",NA,"soil","21Ni5",24,"Nicaragua","Eukaryota","","","Dinophyceae","Gonyaulacales","Amphidomataceae","Azadinium","Azadinium spinosum"
"00c2ccf964dbc340e4d83722de4810000322a45b","gi|1343895871|gb|MF956272.1|","100",37,0,0,274,310,390,426,"0,000000605","69,4","Boucekinus tatianae voucher PJ0025 cytochrome oxidase subunit I gene, partial cds; mitochondrial","21F112A",13,"Managua","Eukaryota_2759",NA,NA,NA,NA,NA,NA,"wat0m","21F112A",13,"Managua","Eukaryota","Metazoa","Arthropoda","Insecta","Hymenoptera","Torymidae","Boucekinus","Boucekinus tatianae"
"00c5fdc88e89d32e02e45c78fcb1aa2af70b5741","gi|1519156123|gb|MG496092.1|","99,361",313,2,0,1,313,336,648,"4,95E-157","568","Atherinella hubbsi voucher stri-1262 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","21F112B",4,"Managua","Eukaryota_2759","Chordata_7711","Actinopteri_186623","Atheriniformes_8075","Atherinopsidae_461499","Atherinella_300301","Atherinella_hubbsi_1143730","wat0m","21F112B",4,"Managua","Eukaryota","Metazoa","Chordata","Actinopteri","Atheriniformes","Atherinopsidae","Atherinella","Atherinella hubbsi"
"00ce756091c973018e9c3797ac5356291f7aca08","gi|942680703|gb|KT823825.1|","100",32,0,0,16,47,331,362,"0,000218","60,2","Dendrobaena byblica voucher HNHM 15800 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial","Ma2s",2,"Masaya","Eukaryota_2759",NA,NA,NA,NA,NA,NA,"soil","21Ma2s",2,"Masaya","Eukaryota","Metazoa","Annelida","Clitellata","Crassiclitellata","Lumbricidae","Dendrobaena","Dendrobaena byblica"
"0107376e1af62e0fb8f7095ff8e31c838a1d0b5f","gi|1694422700|gb|MK396292.1|","100",28,0,0,14,41,312,339,"0,036","52,8","Haematopota griseicoxa voucher HF59 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","SA64-1FSA",5,"Esponja","Eukaryota_2759",NA,NA,NA,NA,NA,NA,"sponge","SA64-1FSA",5,"Apoyo","Eukaryota","Metazoa","Arthropoda","Insecta","Diptera","Tabanidae","Haematopota","Haematopota griseicoxa"
"0125763be37dc121bac49ba090b56430693d3ded","gi|2253620578|gb|CP098732.1|","96,486",313,11,0,1,313,1436585,1436273,"5,05E-142","518","Acinetobacter sp. Y-23 chromosome, complete genome","V037",79,"Xiloá","Eukaryota_2759",NA,NA,NA,NA,NA,NA,"wat??m","23V037",79,"Xiloá","Bacteria","","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter tibetensis"
"014da7e16f8d85ae17309bb446a2e89bacb71cf3","gi|2429907221|gb|CP116008.1|","97,233",253,7,0,1,253,2052599,2052851,"1,91E-115","429","Chryseobacterium gambrini strain DMF-6 chromosome, complete genome","V095",3,"Apoyo","Eukaryota_2759",NA,NA,NA,NA,NA,NA,"wat?m","23V095",3,"Apoyo","Bacteria","","Bacteroidota","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium","Chryseobacterium gambrini"
"019058d681f4baade3c2037521e6f21bf801c0b3","gi|2429848812|gb|CP095872.1|","96,154",130,3,1,87,216,2900674,2900801,"6,66E-50","211","Acinetobacter schindleri strain H4-3-C1 chromosome, complete genome","V089",4,"Apoyo","Eukaryota_2759",NA,NA,NA,NA,NA,NA,"wat??m","23V089",4,"Apoyo","Bacteria","","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter schindleri"
"01916a7ed20ec7971cd94d4754d625abad7d6dc9","gi|2083529837|dbj|LC604817.1|","96,805",313,10,0,1,313,16849,16537,"1,09E-143","523","Medakamo hakoo NIES-4000 mitochondrial DNA, complete genome","V016",18,"Asososca León","Eukaryota_2759","Chlorophyta_3041","Trebouxiophyceae_75966","order_Coccomyxaceae_35472","Coccomyxaceae_35472","Medakamo_3113648","Medakamo_hakoo_3113649","wat??m","23V016",18,"Asososca León","Eukaryota","Viridiplantae","Chlorophyta","Trebouxiophyceae","","Coccomyxaceae","Medakamo","Medakamo hakoo"
"01b97996563d4aa35932c509f60301fb6c4fd2cf","gi|2452951619|emb|OX438997.1|","100",29,0,0,170,198,3028788,3028760,"0,017","54,7","Hypercompe scribonia genome assembly, chromosome: 30","Ni5",10,"Nicaragua","Eukaryota_2759",NA,NA,NA,NA,NA,NA,"soil","21Ni5",10,"Nicaragua","Eukaryota","Metazoa","Arthropoda","Insecta","Lepidoptera","Erebidae","Hypercompe","Hypercompe scribonia"
"01e843f9683f6887daac2f17d5afb5c7c9a86826","gi|2565365187|emb|OY637518.1|","96",50,2,0,167,216,11637,11686,"5,1E-11","82,4","Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite","V016",3,"Asososca León","Eukaryota_2759",NA,NA,NA,NA,NA,NA,"wat??m","23V016",3,"Asososca León","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Nidovirales","Coronaviridae","Betacoronavirus","Severe acute respiratory syndrome-related coronavirus"
"01f9587e7149d53b3758c7396a7c5fead899ad1f","gi|1421493624|gb|MH144661.1|","100",34,0,0,274,307,625,658,"0,0000278","63,9","Idiosoma kwongan isolate NCB_018_T27117_M_ID_MYG472_KWONGAN_Eneabba_WA cytochrome c oxidase subunit 1 (CO1) gene, partial cds; mitochondrial","A2",24,"Apoyo","Eukaryota_2759",NA,NA,NA,NA,NA,NA,"soil","21A2",24,"Apoyo","Eukaryota","Metazoa","Arthropoda","Arachnida","Araneae","Idiopidae","Idiosoma","Idiosoma kwongan"
"0265a83fac42609f9c20d8702ca766390185224d","gi|651208762|gb|KJ128418.1|","100",311,0,0,1,311,338,648,"2,93E-159","575","Argentina silus voucher NRM:54751 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","Xi",4,"Xiloá","Eukaryota_2759","Chordata_7711","Actinopteri_186623","Argentiniformes_134613","Argentinidae_170194","Argentina_260511","Argentina_silus_446415","soil","21Xi",4,"Xiloá","Eukaryota","Metazoa","Chordata","Actinopteri","Argentiniformes","Argentinidae","Argentina","Argentina silus"
"029490caa6f979a7f6a00744a67283c0df1a8526","gi|189343043|gb|EU770457.1|","96,474",312,11,0,1,312,345,656,"1,4E-142","520","Arctodiaptomus dorsalis voucher ZPLMX543 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","V047",24,"Nicaragua","Eukaryota_2759","Arthropoda_6656","Hexanauplia_72037","Calanoida_6833","Diaptomidae_236535","Arctodiaptomus_251514","Arctodiaptomus_dorsalis_251515","wat?m","23V047",24,"Nicaragua","Eukaryota","Metazoa","Arthropoda","Hexanauplia","Calanoida","Diaptomidae","Arctodiaptomus","Arctodiaptomus dorsalis"
"02a986117d09a13a267d8c9e79525534944526b0","gi|261277592|gb|FJ590524.1|","96,552",232,8,0,1,232,317,548,"5,35E-102","385","Cladosporium sp. BM-2009-3 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","Xi",14,"Xiloá","Eukaryota_2759","Ascomycota_4890","Dothideomycetes_147541","Cladosporiales_2726946","Cladosporiaceae_452563","Cladosporium_5498",NA,"soil","21Xi",14,"Xiloá","Eukaryota","Fungi","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium","Cladosporium sp. BM-2009-3"
"02b27c2430207bf45f880ee32a5e08c57529a080","gi|1168054551|gb|KY555145.1|","100",40,0,0,4,43,150504,150543,"8,26E-09","75","Caulobacter phage Ccr29, complete genome","V089",2,"Apoyo","Eukaryota_2759",NA,NA,NA,NA,NA,NA,"wat??m","23V089",2,"Apoyo","Viruses","Heunggongvirae","Uroviricota","Caudoviricetes","","","Shapirovirus","Caulobacter phage Ccr29"
"02eb2f87d12d1358da06f9d6e499b0697ff96348","gi|1074919581|gb|KR682997.1|","100",30,0,0,224,253,575,604,"0,005","56,5","Cecidomyiidae sp. BOLD-2016 voucher BIOUG01667-A12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","21F107B",19,"Managua","Eukaryota_2759","Chlorophyta_3041","Chlorophyceae_3166","Chlamydomonadales_3042",NA,NA,NA,"wat0m","21F112B",9,"Managua","Eukaryota","Metazoa","Arthropoda","Insecta","Diptera","Cecidomyiidae","","Cecidomyiidae sp. BOLD-2016"
"02fa6a4a88800289d97f69b352ce174860ddaf5a","gi|158712033|gb|EU029168.1|","100",32,0,0,150,181,464,495,"0,000368","60,2","Hemimysis anomala haplotype C2 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","V047",9,"Nicaragua","Eukaryota_2759",NA,NA,NA,NA,NA,NA,"wat?m","23V047",9,"Nicaragua","Eukaryota","Metazoa","Arthropoda","Malacostraca","Mysida","Mysidae","Hemimysis","Hemimysis anomala"
"02fd783feeccfade9587a374693db1f8ed6ca440","gi|1532679523|gb|CP024620.2|","97,279",147,3,1,55,200,87836,87690,"4,33E-61","248","Acinetobacter indicus strain SGAir0564 chromosome, complete genome","V073",46,"Xiloá","Eukaryota_2759",NA,NA,NA,NA,NA,NA,"wat?m","23V073",46,"Xiloá","Bacteria","","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter indicus"
"035fa5c99cf37a748c815b532f9f36b73c78d649","gi|1858626002|gb|MN849867.1|","99,681",313,1,0,1,313,6295,6607,"1,06E-158","573","Homo sapiens isolate PNG98 haplogroup B4a1a1a mitochondrion, complete genome","AL6",16,"Asososca León","Eukaryota_2759","Chordata_7711","Mammalia_40674","Primates_9443","Hominidae_9604","Homo_9605","Homo_sapiens_9606","soil","21AL6",16,"Asososca León","Eukaryota","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"03739a3e4a8cb58698e19a27052097a4b2392414","gi|1104605589|gb|KY006976.1|","99,042",313,3,0,1,313,358,670,"2,3E-155","562","Macrostomum zhaoqingensis isolate ZQCOI3 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","Ma2s",13,"Masaya","Eukaryota_2759","Platyhelminthes_6157","Rhabditophora_147100","Macrostomida_39215","Macrostomidae_39216","Macrostomum_39217","Macrostomum_zhaoqingensis_1892734","soil","21Ma2s",13,"Masaya","Eukaryota","Metazoa","Platyhelminthes","Rhabditophora","Macrostomida","Macrostomidae","Macrostomum","Macrostomum zhaoqingensis"
"037cf818d3bfb50326b1d9219be3816d092d24ae","gi|2165834294|emb|OV196000.1|","100",39,0,0,168,206,137,99,"0,000000029","73,1","Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1","A2",2,"Apoyo","Eukaryota_2759","Chordata_7711",NA,NA,NA,NA,NA,"soil","21A2",2,"Apoyo","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Nidovirales","Coronaviridae","Betacoronavirus","Severe acute respiratory syndrome-related coronavirus"
"03829aa65468e7fddd3fa4e38ef45bc737d96f9e","gi|1787326055|gb|MN445528.1|","96,97",33,0,1,18,49,350,382,"0,01","54,7","Campiglossa bidentis voucher YSUW130901096 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","Xi",2,"Xiloá","Eukaryota_2759",NA,NA,NA,NA,NA,NA,"soil","21Xi",2,"Xiloá","Eukaryota","Metazoa","Arthropoda","Insecta","Diptera","Tephritidae","Campiglossa","Campiglossa bidentis"
"0398b0d9cb4903405ccfad9097ff60257ac63022","gi|1237408708|ref|NC_035636.1|","96,789",218,7,0,3,220,18820,18603,"6,97E-96","364","Pithomyces chartarum mitochondrion, complete genome<>Pseudopithomyces chartarum mitochondrion, complete genome","AL6",213,"Asososca León","Eukaryota_2759","Ascomycota_4890",NA,NA,NA,NA,NA,"wat1m","21F111A",135,"Masaya","Eukaryota","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Pseudopithomyces","Pseudopithomyces chartarum"
"03acb920b19d15e187996f094687992f11a2fd63","gi|1496296833|gb|MG924692.1|","99,681",313,1,0,1,313,306,618,"1,06E-158","573","Acanthamoeba sp. isolate OSU07-019 cytochrome c oxidase subunit I (COXI) gene, partial cds; mitochondrial","V037",21,"Xiloá","Eukaryota_2759","Discosea_555280","class_Longamoebia_1485168","Longamoebia_1485168","Acanthamoebidae_33677","Acanthamoeba_5754","Acanthamoeba_castellanii_5755","wat??m","23V037",21,"Xiloá","Eukaryota","","Discosea","","Longamoebia","Acanthamoebidae","Acanthamoeba","Acanthamoeba sp."
"03b7ee0d4305de8788d28dcb9704683dd9dda5ce","gi|1049501193|gb|KX295086.1|","100",29,0,0,24,52,319,347,"0,01","54,7","Taschorema rugulum voucher JOS74 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","V073",18,"Xiloá","Eukaryota_2759",NA,NA,NA,NA,NA,NA,"wat?m","23V073",18,"Xiloá","Eukaryota","Metazoa","Arthropoda","Insecta","Trichoptera","Hydrobiosidae","Taschorema","Taschorema rugulum"
"03bd1e1b1b22f05811d3f4160c8d01567b4066c6","gi|1829108290|gb|MT309539.1|","98,039",51,1,0,32,82,307,357,"4,69E-13","89,8","Polyarthra dolichoptera isolate P5_01 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial<>Polyarthra dolichoptera isolate P5_03 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","21F107B",203,"Managua","Eukaryota_2759",NA,NA,NA,NA,NA,NA,"wat0m","21F112B",101,"Managua","Eukaryota","Metazoa","Rotifera","Eurotatoria","Ploima","Synchaetidae","Polyarthra","Polyarthra dolichoptera"
"03c11307c1e46c16d07024b16a6e350b5537a21d","gi|1197511852|ref|NC_034747.1|","100",38,0,0,165,202,133519,133556,"0,000000102","71,3","Fargesia denudata chloroplast, complete genome<>Fargesia denudata chloroplast, complete genome","V016",3,"Asososca León","Eukaryota_2759",NA,NA,NA,NA,NA,NA,"wat??m","23V016",3,"Asososca León","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Fargesia","Fargesia denudata"
"03d06ec2f4f040bfcc5aae12cbdb33d08874842f","gi|2050424760|gb|CP075700.1|","99,462",186,1,0,1,186,69006,68821,"2,5E-88","339","Escherichia coli strain STEC2018-607 plasmid pSTEC2018_607-c, complete sequence","21F111A",54,"Masaya","Eukaryota_2759",NA,NA,NA,NA,NA,NA,"wat1m","21F111A",54,"Masaya","Bacteria","","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli"
"03d0b2a3189480596d8b57a8561d7b65d2dcefdd","gi|651208764|gb|KJ128419.1|","100",313,0,0,1,313,336,648,"2,29E-160","579","Argentina sphyraena voucher NRM:49621 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial<>Argentina sphyraena voucher NRM:53860 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","AL6",50,"Asososca León","Eukaryota_2759","Chordata_7711","Actinopteri_186623","Argentiniformes_134613","Argentinidae_170194","Argentina_260511","Argentina_sphyraena_442169","soil","21AL6",50,"Asososca León","Eukaryota","Metazoa","Chordata","Actinopteri","Argentiniformes","Argentinidae","Argentina","Argentina sphyraena"
"03d25aaf393b3af197072c53f14030c2976d0269","gi|2709630262|gb|CP150208.1|","97,083",240,7,0,1,240,1936330,1936569,"3,02E-108","405","Solibacillus sp. FSL W7-1472 chromosome, complete genome","V019",8,"Asososca León","Eukaryota_2759",NA,NA,NA,NA,NA,NA,"wat?m","23V019",8,"Asososca León","Bacteria","","Bacillota","Bacilli","Bacillales","Planococcaceae","Solibacillus","Solibacillus sp. FSL W7-1472"
"03df7418983128d485c497b18028b640b2e12aab","gi|189343043|gb|EU770457.1|","97,436",312,8,0,1,312,345,656,"1,39E-147","536","Arctodiaptomus dorsalis voucher ZPLMX543 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","21F109A",740,"Apoyo","Eukaryota_2759","Arthropoda_6656","Hexanauplia_72037","Calanoida_6833","Diaptomidae_236535","Arctodiaptomus_251514","Arctodiaptomus_dorsalis_251515",NA,"21F109A",740,"Apoyo","Eukaryota","Metazoa","Arthropoda","Hexanauplia","Calanoida","Diaptomidae","Arctodiaptomus","Arctodiaptomus dorsalis"
