Hash	taxa	reason	db	precision
0000d2c35b0418b146f9e7f33c1ff4baf809ce83	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
000531bf7d7ba424b51d153e087766e9b9086bc2	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
0009488fc766ad53639beb154b541653a887eac6	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
0015ad17b09795ecf6bfc634210be4bc6ce947a2	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
001b52c3551b1be97372ee429f8853190b7188c8	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
001b6a2de52e7e567e339100db52e8438885bb97	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
001e63e0083a159bd00084ce35a527a6bf2b287a	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
001f20ac8f04ee837190dd9c7c7e5fe9ff1102d5	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
001ff23a58000ed3b13a24b2b9666bfc0e47ea58	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
0021a0841673237601c31f0bf7fba6c35fb57b59	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
0026b91fec97ae4596cd5a6cf50046c9e77fae24	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
0026ce218e00676e65e1afbdd3580d1d797cc732	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
0029cf3f9bb0f1fa661e1c8df8f5fdfc4f332ff1	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
002c5c336de39cc358911fae86725a7f33b95c32	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
002e113e0024c8823325ebd3272e6f2cdd9f72f4	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
002ed44dd2e00446f244b6f304db58169011dbaf	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
0031bb6b16b43fa484104da08a361c82611d112b	Rhodophyta%Florideophyceae%Batrachospermales%Lemaneaceae%Paralemanea%Paralemanea_annulata	NA	rCRUX_SINTAX	Species
0032a5ffe891707bf4f103148d49ffdb08f35303	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
0033309923337d5332161a10b972d4841f8252fc	phylum_Eustigmatophyceae%Eustigmatophyceae%Eustigmatales%Monodopsidaceae%Nannochloropsis%NA	NA	MIDORI_SINTAX	Genus
00347d4d43de6a62dd56f560f9284728b9aebc25	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
0038f3f83b0c4d223f3ce00518b1530cc11c0e60	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
003f4cb02d72c97602306e68813427a993e53c22	Bacillariophyta%Bacillariophyceae%Cymbellales%Gomphonemataceae%Gomphonema%Gomphonema_parvulum	NA	MIDORI_SINTAX	Species
0041d751885b25023dbf80010072c69b442ab1f7	Ascomycota%Eurotiomycetes%Eurotiales%Aspergillaceae%Penicillium%NA	3	rCRUX_BLAST	Genus
0042533f02dee55916eb93fd32c1d640cfe14a8f	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
004857638eee7c3cc4ad382d3be193517da6cc6d	Ascomycota%Saccharomycetes%Saccharomycetales%NA%NA%NA	NA	rCRUX_SINTAX	Order
00486cdafe269f66aef94f6fc8e414253ac0ac29	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
004b87ad0c9cc2cf9108026ea29b016cc01f12e3	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
004b89254aff63e117a90b224b3d7a63ba5ba58e	Ascomycota%Sordariomycetes%Hypocreales%Cordycipitaceae%NA%NA	NA	MIDORI_SINTAX	Family
004ec3d0983a6a33e31f41432b5215627e7cd5c3	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
00536c47575d54d2a18f4f1ad100ea69bfaa50f7	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
005428251766db02e3f535b731b4fea9a9bef557	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
005544ad34304018ba83508bc987d6cc1d6db1f4	Discosea%Flabellinia%order_Vannellidae%Vannellidae%Ripella%NA	NA	MIDORI_SINTAX	Genus
0056780b3a9e01ef3c17ea87567dba6cf9b3c770	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
0059991075ea26e99f82701d89511c5290d4a5c3	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
005fa68cccc77b04b77ea6b7095d5332ba7a31c1	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
0061c754849ced9382a1647d73af8feda8052b64	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
0064976aaeb16b6301867f84d91cbeb252232f6f	Bacillariophyta%Coscinodiscophyceae%Stephanodiscales%NA%NA%NA	10	MIDORI_BLAST	Order
00655f9c2aca41e1b6a8c9c64c8502b211db4afd	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
00698c0bdb8f4bb7c1a0e95d93c8d2d608b1e188	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
0069c9aad75a74dd33c43f28545903d933396a5b	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
006b613407ab0014f6c67845ab01a4cffd800dbb	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
007142a735fecb82b5e6057dd5af25a0a583d03c	Bacillariophyta%Bacillariophyceae%Bacillariales%Bacillariaceae%NA%NA	NA	MIDORI_SINTAX	Family
007395d79bc524e6df24f54988a7aa4ac8e7db71	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
007441a690069f57fe18a149248658d4be59f302	Arthropoda%Insecta%Diptera%NA%NA%NA	10	rCRUX_BLAST	Order
007520d267360da351c568303960bdf781c3114c	Ascomycota%Sordariomycetes%Hypocreales%NA%NA%NA	NA	rCRUX_SINTAX	Order
0075a64debb90eb4867297d9c819f3dac07451b6	Cnidaria%Hydrozoa%Siphonophorae%Agalmatidae%Agalma%Agalma elegans	1	BOLD_BLAST	Species
007a9a392f7ac421fe47bb68fdea4886a6b6a28b	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
007aa2f3b1a122d460ce771bb8e523d864d263fb	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
007e0090f5ad1b0520721a03583539ebeb1ea346	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
008001c0b5a54c04d80a8cbc65b277d1abf6f6b4	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
0080208be52de796ecea0c003248a772322b7925	Ascomycota%Saccharomycetes%Phaffomycetales%NA%NA%NA	NA	MIDORI_SINTAX	Order
0082f3ca6a93cde2e514147e90749f8aa82248e9	Chlorophyta%Chlorophyceae%Sphaeropleales%Scenedesmaceae%Hariotina%NA	NA	rCRUX_SINTAX	Genus
0082fd6b1eb7648ccc033063da2334d65925b499	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
0087aa3353937ffe428836f1b0e7c6faa26bd08b	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
008988fe04f91a3b201c71e1fae934e5960550f1	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
008a8b645257a93d410413fac63015e68a16d1d7	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
008db3479e35a85bb53313295f293686ed7f1244	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
0091c7ab7317400aeba32c076e798d0a857e80d9	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
00955f3e590799e9324641a54bbe9527090c3f2c	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
00964a0debfa5d90bdbf0a627a88a3e8ac50d4a9	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
0096ba4bb3ef35890d49ce15198969c349b5a906	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
0098fb6cb201f923b43bd62d34e9cf1c99c97315	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
00990397b7a3de06cff0b67fd7b764d5e8929505	Ascomycota%Eurotiomycetes%Eurotiales%Aspergillaceae%NA%NA	NA	MIDORI_SINTAX	Family
009968a8a4846b2e2400c2cb7fe52ce637bf10e2	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
0099b77933abd6d560707b34c1b7c91798ea3b0b	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
009a16b4ebe30d83b5a870d1af75eed54f4058ef	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
009c92ecb1298ca532c775444f55a50316cee0d0	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
009e693011fb232e2dda4931bd9fd1a2e749e59c	Ascomycota%Eurotiomycetes%Eurotiales%Trichocomaceae%Talaromyces%NA	3	MIDORI_BLAST	Genus
009f448e8c94b60fa36468e22ee16ec19efc6e23	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
009fe984ed96f9cdf711c5b4da62a939474a04e6	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
00a08fc87b54d1acc073cd55141a4e6d93e26237	Ascomycota%Eurotiomycetes%Eurotiales%Aspergillaceae%Aspergillus%NA	NA	MIDORI_SINTAX	Genus
00a13f92b913c197ab9dc5910491917a7f344c49	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
00a3e0652922eb36fddd411ba513404546d63ae8	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
00a55eca95273cddffc97ba76e6ef3b88a2e6a8b	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
00aca11e23ed549e5d392809a4f4395cd97d7869	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
00ad37d78a1299576305cac6b22debdf1a018f39	Ascomycota%Dothideomycetes%Pleosporales%NA%NA%NA	10	MIDORI_BLAST	Order
00ae72fe22a1873f882b2ed0ef4329293e10d22a	Arthropoda%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
00aebb7a92fe6315d8c560d985541f311aefe126	Bacillariophyta%Bacillariophyceae%Bacillariales%Bacillariaceae%Tryblionella%Tryblionella compressa	1	rCRUX_BLAST	Species
00b0facedd744a4d7acc34b81e8edfb3907f9a10	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
00b203c745eef2c45c9075177f40e57afd9db263	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
00b2b65458a77711aad0beb89dbdae6c43ff73e2	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
00b842d67d77d5bad3acf22a83f84dea9f327084	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
00b9e1d0ce3c6b16982f43e56a4ad7a176b55555	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
00ba57c922c701c71bbe9eb1f3880a956a4cdc1e	Bacillariophyta%Bacillariophyceae%Naviculales%Sellaphoraceae%Sellaphora%Sellaphora_pupula	NA	rCRUX_SINTAX	Species
00bd582552cc97fea914393d5d549e78574dfb09	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
00bed98227cfd8dd631c53ab2c63ceb12852193b	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
00c172ef2bfc0119bd394016da76a1f9e9589d47	Chordata%Actinopteri%Spariformes%Sparidae%Pagellus%Pagellus erythrinus	1	BOLD_BLAST	Species
00c237615ee02fd9e4a89e50d0c02171316ab89d	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
00c2ccf964dbc340e4d83722de4810000322a45b	Arthropoda%Insecta%Hymenoptera%NA%NA%NA	10	rCRUX_BLAST	Order
00c5fdc88e89d32e02e45c78fcb1aa2af70b5741	Chordata%Actinopteri%Atheriniformes%Atherinopsidae%Atherinella%Atherinella hubbsi	1	BOLD_BLAST	Species
00c793ca8eea511228168bcd37e45c5cb873c30b	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
00cf31cf948b7e713a1b3eac59f6e9972e98af81	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
00cf56375a862bf462c1146228af81ea4cd6fa90	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
00d49b43ffa5b2e120ef24faa82d6568682d70bd	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
00d70ece0f3b714051339bf1890cd55ca46d0e8d	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
00da87345ccfe3c44384c5e16e29148e5a8a1ab3	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
00dc09901448bef4d3a9641ba4213c02c6ea5fc6	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
00dc3c4367ef11ca0ee31914be97981739b14baa	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
00dd82f73111e13e022f87deeacbdeae00752920	Arthropoda%Insecta%Diptera%NA%NA%NA	10	BOLD_BLAST	Order
00e0b51d3dfd6588e4d7eb157892c1577816852f	Ascomycota%Sordariomycetes%Hypocreales%Nectriaceae%Fusarium%Fusarium oxysporum	1	BOLD_BLAST	Species
00e2fad378a4ec4b70d8b0f2a71781c72782613c	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
00e52f8562142e55e21d161285ba6cebbd112374	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
00e724004bd6183480b10b9ef7c0feab54d910d1	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
00e9fd2b87c4493bbb6aca342c6e10fa1b386b71	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
00ece76e3b80fa81cc1f04fe1a53e362ea54a9b8	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
00ecea30d1e2d63592aef58120fa3ce20780d35e	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
00ed3bef2bf7dd79b81b0c0450e85a3171c01905	Ascomycota%Leotiomycetes%NA%NA%NA%NA	10	BOLD_BLAST	Worse
00edbe7e0c894da5895c653bfc186904b47e15aa	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
00edc773e5935e7ece9e08aaa63f071aa24a8060	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
00eeb023b8744f370ddccb22de832759126287e7	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
00f0d0e2b255915fab0143bfbccfaa8e832f3120	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
00f1f2d58b5fe91c4cf98fbbe459da391684062c	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
00f37b3fac853815003ce92d5425607233f0f052	Arthropoda%Insecta%Hemiptera%Aleyrodidae%Dialeurodes%Choricystis_parasitica	NA	MIDORI_SINTAX	Species
00f90503e19e995f233492b2579c2a332cff01a1	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
00f98825350321206af844fc975157a38579c7cb	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
00fa1fc1496932a1f31fad3cfc00e20dde8781ca	Chlorophyta%Chlorophyceae%Chlamydomonadales%Chlamydomonadaceae%Chlamydomonas%Chlamydomonas incerta	1	rCRUX_BLAST	Species
00fa42e1649ca9176624b0a9b700be03c390d3d8	Ascomycota%Sordariomycetes%Hypocreales%NA%NA%NA	NA	rCRUX_SINTAX	Order
00fc2fc2c6818ae3d29af258c9fdcf10f907e3ec	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
0104aad625d862070f2a40d8deea78ecc3920b7b	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
0105c5a9afab03966417b765057a2d6b85229d5b	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
010961783b54e2995e6d3fdd6ba420a1c2380869	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
010c9c113bbda073cd04afe5ceee665a720617ae	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
010dee0e5cb6369b31099e723518479435a1bb7f	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
010fb5a256cbf71385ed447d505633489b157513	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
01113355cdac161ca261e8f296912ed5f8d3a7cd	Bacillariophyta%Bacillariophyceae%Naviculales%Naviculaceae%Navicula%Navicula_cryptocephala	NA	MIDORI_SINTAX	Species
0113da4d67d179a0006b70b229952efa8c36bd18	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
01168b00ebc0eb034131a22d224c147a408685ee	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
01213f80ac0c990073ec1957c02afdd323b1db9d	Mollusca%Gastropoda%Stylommatophora%Helicidae%Helix%Helix nucula	1	BOLD_BLAST	Species
012202594747c01e61407ccf164a7534fffcfe0b	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
0125763be37dc121bac49ba090b56430693d3ded	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
012989224fce2e5210fd2e3f2c279063e3f3ceb9	Arthropoda%Insecta%Diptera%NA%NA%NA	10	BOLD_BLAST	Order
012daddb76849cbfd2889b1653c2ebfe54689a12	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
012f30d840474ed2303f399b7991cc680b9efaf9	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
01329affe1efe397113c5c77a44a9e4e2a1bb1a6	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
01335149895335f403338f372abb34bf9c1c01c7	Cercozoa%Imbricatea%Euglyphida%Cyphoderiidae%Cyphoderia%Cyphoderia ampulla	1	BOLD_BLAST	Species
01337a7db7820310f3a5b2beda2b59de2d4b2b88	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
0135e2734ace54678ea1baaa694619dd3d375576	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
013815047ea8b59f5b7e7833776b4a09b291f82c	Discosea%Flabellinia%Dactylopodida%Paramoebidae%Korotnevella%NA	NA	rCRUX_SINTAX	Genus
0147becf59e9d0d7688c31b8d01ea65962b65de0	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
014907e1d073a1820ccf815e5d746e9eaee1e990	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
014e1d4f385e69b6d0b68f4e8fdd8af6a63af2e8	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
01530660aa1af2b1506f7bbeb0520192d03da737	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
015c398f6641abe3f71c019bdb52ec07133329d7	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
0162769be0c4024d2d32def672f9d4d48798cdb4	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
016455fe5aa49a944e69dc76c9c95253cec6b2f0	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
0167f05071e46536c0503e66f684c5d309edf937	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
0168a0549cbd2d2200f5d726528ba70aa2ebecf0	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
016afc5f0f8d21ae5b150d4e9372aee6b3324a23	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
016d678db7591d27afe2c785f58d36e9a5869547	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
016da11b70f2bdc0a0eea53c0915953c0339456e	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
016f70805437899aaacca6280b07ae48ee1a139a	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
0170e1c4be6a8093567b83b878a892a80e177157	Arthropoda%Insecta%Hymenoptera%Formicidae%Solenopsis%Solenopsis	NA	rCRUX_SINTAX	Species
01729ecf3fb7f4c858c61d9f141a1c18d0e8e0d0	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
017ba1b5afc841f02bdb3bca516f790d9681c5ba	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
017cb2da9d9f66cb27dea2f292d9c59b4896685f	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
018153c046d6848e09885ded6ae99d41e870bd20	Arthropoda%Branchiopoda%Diplostraca%Eurycercidae%Karualona%Karualona_penuelasi	NA	MIDORI_SINTAX	Species
0186c4b25673221478c17e7ad03c984281b4bad7	Chlorophyta%Trebouxiophyceae%Chlorellales%Chlorellaceae%Micractinium%Micractinium_conductrix	NA	MIDORI_SINTAX	Species
018992b2e4db69045b24cbad601e10c5a048f80b	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
018bcb40315118e7a126ccf4be5520d8566d7976	Bacillariophyta%Bacillariophyceae%Bacillariales%Bacillariaceae%Nitzschia%Nitzschia palea	2	rCRUX_BLAST	Species
018bdd163a260368de19a4bb570799923ff41acf	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
018be7e137c6788c49b072adba1f55b205a55518	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
018d38f72abb6f1e5c0b089b4fac86ab0ae1b5b0	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
018ea8501ceea11fded92f26f2069b43ef203a13	Arthropoda%Ostracoda%Podocopida%Darwinulidae%Alicenula%Alicenula_yucatanensis	NA	MIDORI_SINTAX	Species
018f29eb7c3f60feee42422c7bddba9da9445f60	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
01916a7ed20ec7971cd94d4754d625abad7d6dc9	Chlorophyta%Trebouxiophyceae%order_Coccomyxaceae%Coccomyxaceae%Medakamo%Medakamo_hakoo	NA	MIDORI_SINTAX	Species
01940ca90c489bd152025f29d96a16ee5da4eb14	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
0194164ceb4e7f4a8ea4005c77a3f5fbf8ecd346	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
01941e45240d22171624f3f71113c860ca1ca651	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
019501786cca6814a4e703ff23e3541c0079950d	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
019575b98fa31c498a9b275a2ad5f8e86fd4c058	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
019b11aeaf87955ce88b0d34b74d6af44dc381cb	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
019f4df4a29e86acbf42126c3b2e9c2f09e39a74	Ascomycota%Eurotiomycetes%Eurotiales%Aspergillaceae%Aspergillus%Aspergillus_puulaauensis	NA	MIDORI_SINTAX	Species
01a4244887b9d8c502d79930410c97f6b0701942	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
01aa7282820e7b867826c8d21b65650849dedb82	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
01ab4ce0314a9e15b6d352f2f0d6755a25b5b8f4	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
01abea63cc502c9936d1c7968ed64b2d226a7b6a	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
01ad8614c936ea0eb4a71f8ffdefa3db52606e72	NA%NA%NA%NA%NA%NA	10	BOLD_BLAST	Worse
01b2cc109a56e99d2733ea36d697ec50a05bee1b	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
01b5d6ff83c38060df96e7d58e014c3e1f362361	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
01b5fa61e5883a18119c4971029f2ef5e82bdff5	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
01b948eea2eae5313ee3635bbbc93e4bd376fe78	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
01c0269c06b65d4ce8ff8f3ae167ec3e7d967aa2	NA%NA%NA%NA%NA%NA	11	BOLD_BLAST	Worse
