Sample;SampleType;Sample.name;Type;Lake;Depth
V016_rep1;eDNA;V016;Filter;asososca-leon;20
V016_rep2;eDNA;V016;Filter;asososca-leon;20
V016_rep3;eDNA;V016;Filter;asososca-leon;20
V019_rep1;eDNA;V019;Filter;asososca-leon;0
V019_rep2;eDNA;V019;Filter;asososca-leon;0
V019_rep3;eDNA;V019;Filter;asososca-leon;0
V020_rep1;eDNA;V020;Filter;nicaragua;0
V020_rep2;eDNA;V020;Filter;nicaragua;0
V020_rep3;eDNA;V020;Filter;nicaragua;0
V037_rep1;eDNA;V037;Filter;xiloa;20
V037_rep2;eDNA;V037;Filter;xiloa;20
V037_rep3;eDNA;V037;Filter;xiloa;20
V047_rep1;eDNA;V047;Filter;nicaragua;10
V047_rep2;eDNA;V047;Filter;nicaragua;10
V047_rep3;eDNA;V047;Filter;nicaragua;10
V073_rep1;eDNA;V073;Filter;xiloa;0
V073_rep2;eDNA;V073;Filter;xiloa;0
V073_rep3;eDNA;V073;Filter;xiloa;0
V089_rep1;eDNA;V089;Filter;apoyo;20
V089_rep2;eDNA;V089;Filter;apoyo;20
V089_rep3;eDNA;V089;Filter;apoyo;20
V095_rep1;eDNA;V095;Filter;apoyo;0
V095_rep2;eDNA;V095;Filter;apoyo;0
V095_rep3;eDNA;V095;Filter;apoyo;0
SA64-1FSA_rep1;FreshWaterSponge;SA64-1FSA;Sponge;apoyo;30
SA64-1FSA_rep2;FreshWaterSponge;SA64-1FSA;Sponge;apoyo;30
SA64-1FSA_rep3;FreshWaterSponge;SA64-1FSA;Sponge;apoyo;30
SA64-2FSA_rep1;FreshWaterSponge;SA64-2FSA;Sponge;apoyo;30
SA64-2FSA_rep2;FreshWaterSponge;SA64-2FSA;Sponge;apoyo;30
SA64-2FSA_rep3;FreshWaterSponge;SA64-2FSA;Sponge;apoyo;30
SA64-3FSA_rep1;FreshWaterSponge;SA64-3FSA;Sponge;apoyo;30
SA64-3FSA_rep2;FreshWaterSponge;SA64-3FSA;Sponge;apoyo;30
SA64-3FSA_rep3;FreshWaterSponge;SA64-3FSA;Sponge;apoyo;30
SA64-4FSA_rep1;FreshWaterSponge;SA64-4FSA;Sponge;apoyo;30
SA64-4FSA_rep2;FreshWaterSponge;SA64-4FSA;Sponge;apoyo;30
SA64-4FSA_rep3;FreshWaterSponge;SA64-4FSA;Sponge;apoyo;30
SA64-5FSA_rep1;FreshWaterSponge;SA64-5FSA;Sponge;apoyo;30
SA64-5FSA_rep2;FreshWaterSponge;SA64-5FSA;Sponge;apoyo;30
SA64-5FSA_rep3;FreshWaterSponge;SA64-5FSA;Sponge;apoyo;30
SA64-6FSA_rep1;FreshWaterSponge;SA64-6FSA;Sponge;apoyo;30
SA64-6FSA_rep2;FreshWaterSponge;SA64-6FSA;Sponge;apoyo;30
SA64-6FSA_rep3;FreshWaterSponge;SA64-6FSA;Sponge;apoyo;30
ctrl+_rep7;ctrl+;ctrl+;Control;Control;NA
Xi_rep1;eDNA;Xi;Soil;xiloa;0
Xi_rep2;eDNA;Xi;Soil;xiloa;0
Xi_rep3;eDNA;Xi;Soil;xiloa;0
Ma2s_rep1;eDNA;Ma2s;Soil;masaya;0
Ma2s_rep2;eDNA;Ma2s;Soil;masaya;0
Ma2s_rep3;eDNA;Ma2s;Soil;masaya;0
A2_rep1;eDNA;A2;Soil;apoyo;0
A2_rep2;eDNA;A2;Soil;apoyo;0
A2_rep3;eDNA;A2;Soil;apoyo;0
Ni5_rep1;eDNA;Ni5;Soil;nicaragua;0
Ni5_rep2;eDNA;Ni5;Soil;nicaragua;0
Ni5_rep3;eDNA;Ni5;Soil;nicaragua;0
AL6_rep1;eDNA;AL6;Soil;asososca-leon;0
AL6_rep2;eDNA;AL6;Soil;asososca-leon;0
AL6_rep3;eDNA;AL6;Soil;asososca-leon;0
2F101A_rep1;eDNA;2F101A;Filter;asososca-leon;10
2F101A_rep2;eDNA;2F101A;Filter;asososca-leon;10
2F101A_rep3;eDNA;2F101A;Filter;asososca-leon;10
21F103A_rep1;eDNA;21F103A;Filter;asososca-leon;1
21F103A_rep2;eDNA;21F103A;Filter;asososca-leon;1
21F103A_rep3;eDNA;21F103A;Filter;asososca-leon;1
21F103B_rep1;eDNA;21F103B;Filter;asososca-leon;1
21F103B_rep2;eDNA;21F103B;Filter;asososca-leon;1
21F103B_rep3;eDNA;21F103B;Filter;asososca-leon;1
21F105A_rep1;eDNA;21F105A;Filter;xiloa;1
21F105A_rep2;eDNA;21F105A;Filter;xiloa;1
21F105A_rep3;eDNA;21F105A;Filter;xiloa;1
21F107B_rep1;eDNA;21F107B;Filter;managua;5
21F107B_rep2;eDNA;21F107B;Filter;managua;5
21F107B_rep3;eDNA;21F107B;Filter;managua;5
21F108A_rep1;eDNA;21F108A;Filter;xiloa;10
21F108A_rep2;eDNA;21F108A;Filter;xiloa;10
21F108A_rep3;eDNA;21F108A;Filter;xiloa;10
21F108B_rep1;eDNA;21F108B;Filter;xiloa;10
21F108B_rep2;eDNA;21F108B;Filter;xiloa;10
21F108B_rep3;eDNA;21F108B;Filter;xiloa;10
21F109A_rep1;eDNA;21F109A;Filter;apoyo;10
21F109A_rep2;eDNA;21F109A;Filter;apoyo;10
21F109A_rep3;eDNA;21F109A;Filter;apoyo;10
21F109B_rep1;eDNA;21F109B;Filter;apoyo;10
21F109B_rep2;eDNA;21F109B;Filter;apoyo;10
21F109B_rep3;eDNA;21F109B;Filter;apoyo;10
21F110A_rep1;eDNA;21F110A;Filter;apoyo;1
21F110A_rep2;eDNA;21F110A;Filter;apoyo;1
21F110A_rep3;eDNA;21F110A;Filter;apoyo;1
21F111A_rep1;eDNA;21F111A;Filter;masaya;1
21F111A_rep2;eDNA;21F111A;Filter;masaya;1
21F111A_rep3;eDNA;21F111A;Filter;masaya;1
21F112A_rep1;eDNA;21F112A;Filter;managua;0
21F112A_rep2;eDNA;21F112A;Filter;managua;0
21F112A_rep3;eDNA;21F112A;Filter;managua;0
21F112B_rep1;eDNA;21F112B;Filter;managua;0
21F112B_rep2;eDNA;21F112B;Filter;managua;0
21F112B_rep3;eDNA;21F112B;Filter;managua;0
21F114A_rep1;eDNA;21F114A;Filter;masaya;10
21F114A_rep2;eDNA;21F114A;Filter;masaya;10
21F114A_rep3;eDNA;21F114A;Filter;masaya;10
21F114B_rep1;eDNA;21F114B;Filter;masaya;10
21F114B_rep2;eDNA;21F114B;Filter;masaya;10
21F114B_rep3;eDNA;21F114B;Filter;masaya;10
