representative,taxID,taxon,rank,score,kingdom,phylum,class,order,family,genus,species
d47d391d67d5ae6d3d93d6893772b3557d1721ce,2759,Eukaryota,superkingdom,1,,,,,,,
53b5f449fc8f292a4dd09f382768a8859af0bde3,2759,Eukaryota,superkingdom,1,,,,,,,
849f62821cb21de8814b79bd7138c5b359ebfdd8,2759,Eukaryota,superkingdom,1,,,,,,,
0591158b7ee039046eb89f661c428ab8c32e9d7d,2759,Eukaryota,superkingdom,1,,,,,,,
2aacc72745d7de178597f5c15ade8d811fae60c0,2759,Eukaryota,superkingdom,1,,,,,,,
44d4ccb9f5218a2b9b29875af5840ffc7024343b,2759,Eukaryota,superkingdom,1,,,,,,,
f47b1ccc4d3100dd01dd2af818664d5638607fd0,2759,Eukaryota,superkingdom,1,,,,,,,
df070889dec7a2074b7ca43d8eb2fbf1abb7f33e,2759,Eukaryota,superkingdom,1,,,,,,,
0b99a148770d184a76a4830fd38d831115de78fe,2759,Eukaryota,superkingdom,1,,,,,,,
3e864af09a29a7a13aa8f5cb4b7a2c96c257de54,2759,Eukaryota,superkingdom,1,,,,,,,
3b11fca592e65c0886ebf5916fdce40691ce180e,10194,Brachionus,genus,1,Metazoa,Rotifera,Monogononta,Ploima,Brachionidae,Brachionus,
8568a4b6435452883a4dfec64f8c34e97fa8f5b1,10191,Monogononta,class,1,Metazoa,Rotifera,Monogononta,,,,
a156f2edb989e8a8679899e31485936a09882fd9,1,root,no rank,NA,,,,,,,
5bca285a490bd28b861a79695a16d4c886f550bc,2759,Eukaryota,superkingdom,1,,,,,,,
f43a37155abb483623729c360f974f4f7c43d2d5,1,root,no rank,NA,,,,,,,
11115e7fdde51e705f07cfe4fa52fca31f50663b,131567,cellular organisms,no rank,1,,,,,,,
08816de8e718166eb71e73747e20273ce7f2d7db,2759,Eukaryota,superkingdom,1,,,,,,,
d5803bec6d71061d78f4ecbf8cda7bf76b6599ac,4762,Oomycetes,class,0.9167,,,Oomycetes,,,,
906d9c8e7de7fd5894e475fab64a6f76f430db30,2759,Eukaryota,superkingdom,1,,,,,,,
29c0f6c357e9c702bad4de4cff2ed43bfd296beb,33154,Opisthokonta,no rank,1,,,,,,,
e08b8a6ad5651b5b6342a922f39b6309c5b7d6ac,2759,Eukaryota,superkingdom,0.9999,,,,,,,
4bd4bff9a2cdcb9455fbde197077d4e6b0edf847,33317,Protostomia,no rank,1,Metazoa,,,,,,
6c11f84e0e44ef8bec0acce65530aa3800f85dcc,2759,Eukaryota,superkingdom,1,,,,,,,
de1bc16852d781959857897682efe82a1be76c0d,2759,Eukaryota,superkingdom,0.9993,,,,,,,
50fe9e137cb80a494c37a013782dcb2f4744b28e,2759,Eukaryota,superkingdom,0.998,,,,,,,
39bad365e95c3b5655584fe288b17378101f5ab5,33154,Opisthokonta,no rank,1,,,,,,,
